trial,roc_auc_mean,roc_auc_std,value,kernel,nu,gamma
106,0.8916795355753834,0.041532401662570675,85.01471339128128,rbf,0.003958973557618233,0.027091591546653058
107,0.8919011667810569,0.04126274806333159,85.06384187177252,rbf,0.004896670874144483,0.027103814487249092
108,0.8916795355753834,0.041532401662570675,85.01471339128128,rbf,0.004690962467523953,0.027026966901487814
109,0.5804306794783802,0.13708593335128288,44.334474612709734,sigmoid,0.004904739712916806,0.06902996854679523
110,0.8907906276214445,0.041802684822855506,84.89879427985889,rbf,0.004765947492448945,0.028135922421412
111,0.8905785289407459,0.04536707717547758,84.52114517652683,rbf,0.0046401950358001785,0.02601094646078261
112,0.889458457256158,0.04315984496366079,84.62986122924973,rbf,0.004996115801359592,0.031110298760486925
113,0.8879094219476856,0.04482408984515761,84.3085332102528,rbf,0.004513239224691719,0.029621244102703257
114,0.8919059330435446,0.041803943003772145,85.01019900397725,rbf,0.0047404716352699786,0.026870349461007383
115,0.8919011667810569,0.04126274806333159,85.06384187177252,rbf,0.0047565876120220065,0.027105708151183107
116,0.8892320597879966,0.04180576275465807,84.74262970333385,rbf,0.004855716887441347,0.03357116400323801
117,0.8872373789369329,0.0442531772802806,84.29842016566523,rbf,0.004727111016390935,0.03662310450906305
118,0.8916795355753832,0.041532401662570766,85.01471339128123,rbf,0.0046103912688993404,0.027592893056302033
119,0.889458457256158,0.04315984496366079,84.62986122924973,rbf,0.004676684030199334,0.031098255136418135
120,0.3913387478075192,0.061813712317895515,32.95250354896237,linear,0.004585550494603938,0.038606789892092534
121,0.8914555212384657,0.04153657898742505,84.99189422510408,rbf,0.00491473734499175,0.02718850330779925
122,0.8919083161747884,0.04479641585878952,84.71119003159988,rbf,0.004804138399188316,0.02562576410752514
123,0.8905689964157707,0.0420735353316102,84.84954610841605,rbf,0.0044584071373803364,0.02882735889162229
124,0.8916890681003583,0.04481315055559137,84.6875917544767,rbf,0.004367170947979847,0.02469770301065038
125,0.889677705330588,0.04153249765687945,84.81452076737085,rbf,0.004701666575076344,0.03280250404353503
126,0.8919011667810569,0.04126274806333159,85.06384187177252,rbf,0.004570719011121416,0.0271669284822117
127,0.291383074048654,0.08264050040858673,20.874257364006727,poly,0.004522547549390009,0.03508858410570903
128,0.8928043735224586,0.04809289353594038,84.47114799865182,rbf,0.004334591341889063,0.019776640911595627
129,0.8879070388164417,0.04507888112306601,84.28281576933757,rbf,0.004590287066133448,0.029908365505429937
130,0.891693834362846,0.04593912135111171,84.57547130117344,rbf,0.004757156435018816,0.024154958944670058
131,0.8914579043697094,0.041802665938305374,84.9655238431404,rbf,0.004912814548736044,0.026806405610392492
132,0.8916795355753834,0.041532401662570675,85.01471339128128,rbf,0.004816667425629536,0.027007428755849484
133,0.8910146419583619,0.04180209735990505,84.92125445984568,rbf,0.004633617031922558,0.02805469308686089
134,0.8954710973842751,0.04617572169526418,84.9295375689011,rbf,0.004798372798325904,0.020796182568367228
135,0.8945774231678487,0.04208283210133604,85.24945910665127,rbf,0.0024356986964851673,0.023765352868503117
136,0.8879046556851979,0.04371046129355116,84.41941943916468,rbf,0.0024052288215547692,0.03178062167173757
